erm_record_id,risk_id,risk_name,risk_category,climate_risk_driver,time_horizon,reporting_year,entity_id,risk_owner_function,facility_id,counterparty_id,collateral_id,pcaf_asset_class,nace_code,exposure_at_risk_eur,likelihood_score,severity_score,risk_rating_score,risk_rating,financial_impact_eur,erm_integrated_flag,mitigation_status,control_effectiveness,residual_risk_score,residual_risk_rating,geo_id,country_code,postcode,geography_reference,linkage_source,data_source,created_from
ERM-RISK-008-2020,RISK-008,Stranded assets - fossil fuel sector,transition_market,stranded_assets,long_term,2020,ENT-ES-006,Sector Risk,FAC-0015933,CP-0015933,,business_loan,L68.20,6208603.04,4,5,20,critical,1882243.88,True,implemented,moderate,18,high,,ES,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-008-2021,RISK-008,Stranded assets - fossil fuel sector,transition_market,stranded_assets,long_term,2021,ENT-DE-003,Sector Risk,FAC-0028835,CP-0014857,,business_loan,C24.10,11005613.74,4,5,20,critical,3745059.04,True,monitored,weak,20,critical,,DE,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-008-2022,RISK-008,Stranded assets - fossil fuel sector,transition_market,stranded_assets,long_term,2022,ENT-DE-003,Sector Risk,FAC-0017394,CP-0017394,,business_loan,H49.41,775687.62,4,5,20,critical,281613.11,True,monitored,moderate,18,high,,GB,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-008-2023,RISK-008,Stranded assets - fossil fuel sector,transition_market,stranded_assets,long_term,2023,ENT-GROUP-001,Sector Risk,FAC-0037912,CP-0000117,,business_loan,C24.10,1730278.24,4,5,20,critical,482699.54,True,in_progress,strong,16,high,,DE,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-008-2024,RISK-008,Stranded assets - fossil fuel sector,transition_market,stranded_assets,long_term,2024,ENT-IT-007,Sector Risk,FAC-0013718,CP-0013718,,project_finance,D35.11,17518605.93,5,5,25,critical,7401514.55,True,in_progress,weak,25,critical,,US,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-009-2019,RISK-009,Market repricing of high-emission collateral,transition_market,collateral_repricing,medium_term,2019,ENT-ES-006,Market Risk,FAC-0001472,CP-0001472,,commercial_re,H49.41,2660855.75,3,4,12,medium,488147.57,False,implemented,moderate,10,medium,,IT,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-009-2020,RISK-009,Market repricing of high-emission collateral,transition_market,collateral_repricing,medium_term,2020,ENT-BE-008,Market Risk,FAC-0045023,CP-0014092,,commercial_re,G46.90,8359977.62,3,4,12,medium,912185.16,False,in_progress,moderate,10,medium,,GB,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-009-2021,RISK-009,Market repricing of high-emission collateral,transition_market,collateral_repricing,medium_term,2021,ENT-ES-006,Market Risk,FAC-0040003,CP-0006190,,commercial_re,G46.90,14216424.1,3,4,12,medium,3436789.61,True,monitored,moderate,10,medium,,DE,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-009-2022,RISK-009,Market repricing of high-emission collateral,transition_market,collateral_repricing,medium_term,2022,ENT-FR-002,Market Risk,FAC-0006330,CP-0006330,,commercial_re,C24.10,412704.96,4,4,16,high,125804.67,True,implemented,moderate,14,high,,NL,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-009-2023,RISK-009,Market repricing of high-emission collateral,transition_market,collateral_repricing,medium_term,2023,ENT-IT-007,Market Risk,FAC-0029605,CP-0009589,,commercial_re,F41.20,13432533.04,4,4,16,high,3135411.56,True,in_progress,strong,12,medium,,DE,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-009-2024,RISK-009,Market repricing of high-emission collateral,transition_market,collateral_repricing,medium_term,2024,ENT-BE-008,Market Risk,FAC-0032083,CP-0018255,,mortgage,C24.10,94230.99,4,4,16,high,37850.7,True,implemented,weak,16,high,,ES,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-010-2019,RISK-010,Client transition plan credibility risk,transition_market,transition_plan_credibility,medium_term,2019,ENT-UK-005,Relationship Banking,FAC-0037930,CP-0008253,,business_loan,G46.90,2263747.71,4,3,12,medium,925450.31,True,in_progress,weak,12,medium,,IT,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-010-2020,RISK-010,Client transition plan credibility risk,transition_market,transition_plan_credibility,medium_term,2020,ENT-GROUP-001,Relationship Banking,FAC-0030909,CP-0008917,,business_loan,C24.10,26862430.96,4,3,12,medium,8394714.25,True,not_started,weak,12,medium,,IT,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-010-2021,RISK-010,Client transition plan credibility risk,transition_market,transition_plan_credibility,medium_term,2021,ENT-IT-007,Relationship Banking,FAC-0032194,CP-0001019,,business_loan,G46.90,981361.6,4,3,12,medium,71534.17,False,monitored,strong,8,medium,,NL,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-010-2022,RISK-010,Client transition plan credibility risk,transition_market,transition_plan_credibility,medium_term,2022,ENT-DE-003,Relationship Banking,FAC-0011111,CP-0011111,,project_finance,G46.90,29431908.93,5,3,15,high,2942292.39,True,implemented,moderate,13,high,,GB,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-010-2023,RISK-010,Client transition plan credibility risk,transition_market,transition_plan_credibility,medium_term,2023,ENT-UK-005,Relationship Banking,FAC-0006204,CP-0006204,,business_loan,C24.10,468516.95,4,3,12,medium,74167.87,False,monitored,moderate,10,medium,,IT,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-010-2024,RISK-010,Client transition plan credibility risk,transition_market,transition_plan_credibility,medium_term,2024,ENT-DE-003,Relationship Banking,FAC-0035176,CP-0018012,,business_loan,C24.10,86056.66,5,3,15,high,34737.48,True,in_progress,weak,15,high,,LU,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-011-2019,RISK-011,Supply chain - Scope 3 data gaps,governance,scope3_data_gap,medium_term,2019,ENT-BE-008,Sustainability Office,FAC-0015791,CP-0015791,,business_loan,C24.10,19939855.99,4,3,12,medium,6072949.08,True,in_progress,strong,8,medium,,US,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-011-2020,RISK-011,Supply chain - Scope 3 data gaps,governance,scope3_data_gap,medium_term,2020,ENT-GROUP-001,Sustainability Office,FAC-0019441,CP-0019441,,business_loan,C24.10,784931.17,4,3,12,medium,243087.89,False,in_progress,moderate,10,medium,,BE,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-011-2021,RISK-011,Supply chain - Scope 3 data gaps,governance,scope3_data_gap,medium_term,2021,ENT-LU-009,Sustainability Office,FAC-0005413,CP-0005413,,commercial_re,F41.20,1864433.93,5,4,20,critical,300603.09,True,in_progress,moderate,18,high,,ES,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-011-2022,RISK-011,Supply chain - Scope 3 data gaps,governance,scope3_data_gap,medium_term,2022,ENT-DE-003,Sustainability Office,FAC-0042338,CP-0011113,,commercial_re,C24.10,4246216.74,4,3,12,medium,581949.99,True,in_progress,weak,12,medium,,NL,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-011-2023,RISK-011,Supply chain - Scope 3 data gaps,governance,scope3_data_gap,medium_term,2023,ENT-DE-003,Sustainability Office,FAC-0023584,CP-0019067,,project_finance,D35.11,68617402.76,5,3,15,high,12362735.12,True,implemented,moderate,13,high,,GB,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-011-2024,RISK-011,Supply chain - Scope 3 data gaps,governance,scope3_data_gap,medium_term,2024,ENT-GROUP-001,Sustainability Office,FAC-0030847,CP-0002957,,project_finance,F41.20,51887796.57,4,3,12,medium,11548525.65,False,in_progress,moderate,10,medium,,GB,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-012-2019,RISK-012,ESG data quality and lineage weakness,governance,data_quality_lineage,short_term,2019,ENT-ES-006,Data Governance,FAC-0031469,CP-0005978,,business_loan,C24.10,646241.22,4,4,16,high,166801.35,True,in_progress,strong,12,medium,,GB,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-012-2020,RISK-012,ESG data quality and lineage weakness,governance,data_quality_lineage,short_term,2020,ENT-GROUP-001,Data Governance,FAC-0006450,CP-0006450,,business_loan,H49.41,3750598.28,4,4,16,high,608514.22,True,in_progress,moderate,14,high,,FR,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-012-2021,RISK-012,ESG data quality and lineage weakness,governance,data_quality_lineage,short_term,2021,ENT-DE-003,Data Governance,FAC-0045775,CP-0006377,,commercial_re,F41.20,890723.76,4,4,16,high,177169.08,True,implemented,weak,16,high,,ES,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-012-2022,RISK-012,ESG data quality and lineage weakness,governance,data_quality_lineage,short_term,2022,ENT-DE-003,Data Governance,FAC-0001418,CP-0001418,,business_loan,C24.10,3447216.23,3,4,12,medium,1237005.82,True,implemented,moderate,10,medium,,US,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-012-2023,RISK-012,ESG data quality and lineage weakness,governance,data_quality_lineage,short_term,2023,ENT-BE-008,Data Governance,FAC-0021857,CP-0010853,,business_loan,L68.20,6048202.12,4,4,16,high,1572746.18,True,in_progress,strong,12,medium,,BE,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-012-2024,RISK-012,ESG data quality and lineage weakness,governance,data_quality_lineage,short_term,2024,ENT-IT-007,Data Governance,FAC-0021918,CP-0000732,,business_loan,C24.10,1391182.59,5,4,20,critical,620646.43,True,in_progress,moderate,18,high,,LU,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-013-2019,RISK-013,Board climate competence gap,governance,board_competence,short_term,2019,ENT-UK-005,Board Secretariat,FAC-0005393,CP-0005393,,business_loan,H49.41,36818555.08,3,3,9,medium,4059952.23,True,monitored,weak,9,medium,,BE,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-013-2020,RISK-013,Board climate competence gap,governance,board_competence,short_term,2020,ENT-LU-009,Board Secretariat,FAC-0006401,CP-0006401,,business_loan,C24.10,2255993.08,2,3,6,low,642006.15,False,not_started,moderate,4,low,,IT,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-013-2021,RISK-013,Board climate competence gap,governance,board_competence,short_term,2021,ENT-DE-003,Board Secretariat,FAC-0022932,CP-0002475,,business_loan,L68.20,13795872.46,3,3,9,medium,4899758.72,True,in_progress,moderate,7,medium,,DE,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-013-2022,RISK-013,Board climate competence gap,governance,board_competence,short_term,2022,ENT-GROUP-001,Board Secretariat,FAC-0006011,CP-0006011,,commercial_re,F41.20,6082481.2,3,3,9,medium,2174189.21,False,in_progress,strong,5,low,,FR,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-013-2023,RISK-013,Board climate competence gap,governance,board_competence,short_term,2023,ENT-IT-007,Board Secretariat,FAC-0027296,CP-0013171,,project_finance,C24.10,500000000.0,3,3,9,medium,12824194.95,False,implemented,weak,9,medium,,BE,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-013-2024,RISK-013,Board climate competence gap,governance,board_competence,short_term,2024,ENT-GROUP-001,Board Secretariat,FAC-0027497,CP-0010220,,business_loan,C24.10,15155363.88,3,3,9,medium,6380168.49,True,in_progress,moderate,7,medium,,ES,,,loan_book + counterparty_master,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-014-2019,RISK-014,Customer vulnerability and financial inclusion risk,social,customer_vulnerability,medium_term,2019,ENT-GROUP-001,Retail Banking,,,,,,1419329101.96,3,3,9,medium,9663163.03,True,implemented,strong,5,low,,ES,,,entity_master + portfolio_exposure,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-014-2020,RISK-014,Customer vulnerability and financial inclusion risk,social,customer_vulnerability,medium_term,2020,ENT-BE-008,Retail Banking,,,,,,3261124818.23,3,3,9,medium,28586383.84,True,implemented,moderate,7,medium,,ES,,,entity_master + portfolio_exposure,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-014-2021,RISK-014,Customer vulnerability and financial inclusion risk,social,customer_vulnerability,medium_term,2021,ENT-US-010,Retail Banking,,,,,,3252072748.1,3,3,9,medium,8756994.04,False,in_progress,strong,5,low,,GB,,,entity_master + portfolio_exposure,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-014-2022,RISK-014,Customer vulnerability and financial inclusion risk,social,customer_vulnerability,medium_term,2022,ENT-UK-005,Retail Banking,,,,,,3293715862.32,3,3,9,medium,37824456.17,False,monitored,strong,5,low,,LU,,,entity_master + portfolio_exposure,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-014-2023,RISK-014,Customer vulnerability and financial inclusion risk,social,customer_vulnerability,medium_term,2023,ENT-GROUP-001,Retail Banking,,,,,,1705432089.5,3,3,9,medium,22496738.19,False,monitored,strong,5,low,,DE,,,entity_master + portfolio_exposure,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-014-2024,RISK-014,Customer vulnerability and financial inclusion risk,social,customer_vulnerability,medium_term,2024,ENT-LU-009,Retail Banking,,,,,,758505168.63,3,3,9,medium,16045141.01,True,implemented,weak,9,medium,,NL,,,entity_master + portfolio_exposure,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-015-2019,RISK-015,Workforce sustainability skills shortage,social,workforce_skills,short_term,2019,ENT-UK-005,Human Resources,,,,,,3185057248.71,3,3,9,medium,5985513.35,False,in_progress,moderate,7,medium,,BE,,,entity_master + portfolio_exposure,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-015-2020,RISK-015,Workforce sustainability skills shortage,social,workforce_skills,short_term,2020,ENT-NL-004,Human Resources,,,,,,1382471688.71,3,3,9,medium,26722685.39,False,implemented,strong,5,low,,GB,,,entity_master + portfolio_exposure,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-015-2021,RISK-015,Workforce sustainability skills shortage,social,workforce_skills,short_term,2021,ENT-DE-003,Human Resources,,,,,,1745009342.32,3,3,9,medium,8418203.72,False,in_progress,weak,9,medium,,IT,,,entity_master + portfolio_exposure,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-015-2022,RISK-015,Workforce sustainability skills shortage,social,workforce_skills,short_term,2022,ENT-NL-004,Human Resources,,,,,,862732198.54,3,3,9,medium,12951461.64,True,in_progress,strong,5,low,,FR,,,entity_master + portfolio_exposure,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-015-2023,RISK-015,Workforce sustainability skills shortage,social,workforce_skills,short_term,2023,ENT-BE-008,Human Resources,,,,,,1962616695.69,3,3,9,medium,8524174.33,False,in_progress,strong,5,low,,US,,,entity_master + portfolio_exposure,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
ERM-RISK-015-2024,RISK-015,Workforce sustainability skills shortage,social,workforce_skills,short_term,2024,ENT-ES-006,Human Resources,,,,,,2474302914.49,3,3,9,medium,30375495.73,False,in_progress,moderate,7,medium,,DE,,,entity_master + portfolio_exposure,synthetic_erm_risk_register,synthetic_erm_system_generation_v2_core_tables_aligned
