company_id,reporting_year,scenario_analysis_used,scenario_1_name,scenario_2_name,scenario_1_temperature_pathway,scenario_2_temperature_pathway,short_term_horizon,medium_term_horizon,long_term_horizon,business_scope_covered,analysis_source_type,key_assumptions_summary,resilience_assessment_conclusion,scenario_analysis_note,source_document_name,source_document_type
C001,2020,True,IPCC SSP2-4.5,NGFS Delayed Transition,1.5C,2.5C,2026,2035,2050,portfolio / financed activities,internal scenario analysis,customer demand shift; technology adoption acceleration; asset impairment pressure,moderate exposure under delayed transition,"Scenario analysis considered IPCC SSP2-4.5 and NGFS Delayed Transition across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2020,strategy and resilience working paper
C001,2021,True,NGFS Delayed Transition,IPCC SSP1-1.9,1.5C,2.5C,2025,2035,2050,portfolio / financed activities,internal scenario analysis,carbon price increase; customer demand shift; policy tightening,resilience depends on accelerated mitigation actions,"Scenario analysis considered NGFS Delayed Transition and IPCC SSP1-1.9 across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2021,strategy and resilience working paper
C001,2022,True,IEA STEPS,IPCC SSP1-1.9,1.7C,3.0C+,2026,2035,2040,operations and supply chain,enterprise risk team assessment,higher physical climate losses; asset impairment pressure; technology adoption acceleration,high uncertainty with mixed resilience across business units,"Scenario analysis considered IEA STEPS and IPCC SSP1-1.9 across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2022,strategy and resilience working paper
C001,2023,True,IPCC SSP1-1.9,NGFS Hot House World,1.5C,3.0C+,2025,2035,2040,group-wide operations,climate stress testing model,technology adoption acceleration; insurance cost escalation; carbon price increase,business model resilient under orderly transition,"Scenario analysis considered IPCC SSP1-1.9 and NGFS Hot House World across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2023,strategy and resilience working paper
C001,2024,False,,,,,,,,,,,,No formal scenario analysis identified for the reporting year.,Scenario Analysis Pack 2024,climate resilience assessment
C002,2020,True,IPCC SSP1-1.9,NGFS Orderly Transition,2.0C,3.0C+,2026,2035,2050,selected high-risk assets only,external consultant study,higher physical climate losses; technology adoption acceleration; energy price volatility,resilience depends on accelerated mitigation actions,"Scenario analysis considered IPCC SSP1-1.9 and NGFS Orderly Transition across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2020,climate resilience assessment
C002,2021,False,,,,,,,,,,,,No formal scenario analysis identified for the reporting year.,Scenario Analysis Pack 2021,climate stress test output
C002,2022,False,,,,,,,,,,,,No formal scenario analysis identified for the reporting year.,Scenario Analysis Pack 2022,strategy and resilience working paper
C002,2023,True,IPCC SSP2-4.5,NGFS Hot House World,1.7C,2.0C,2026,2035,2050,operations and supply chain,climate stress testing model,asset impairment pressure; higher physical climate losses; insurance cost escalation,high uncertainty with mixed resilience across business units,"Scenario analysis considered IPCC SSP2-4.5 and NGFS Hot House World across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2023,strategy and resilience working paper
C002,2024,True,NGFS Orderly Transition,IEA STEPS,2.0C,2.0C,2027,2035,2040,selected high-risk assets only,internal scenario analysis,asset impairment pressure; customer demand shift; technology adoption acceleration,significant vulnerability under high warming scenario,"Scenario analysis considered NGFS Orderly Transition and IEA STEPS across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2024,strategy and resilience working paper
C003,2020,False,,,,,,,,,,,,No formal scenario analysis identified for the reporting year.,Scenario Analysis Pack 2020,climate resilience assessment
C003,2021,True,IEA NZE 2050,NGFS Orderly Transition,2.0C,3.0C+,2026,2030,2050,own operations only,climate stress testing model,higher physical climate losses; technology adoption acceleration; customer demand shift,business model resilient under orderly transition,"Scenario analysis considered IEA NZE 2050 and NGFS Orderly Transition across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2021,climate resilience assessment
C003,2022,True,IPCC SSP2-4.5,NGFS Orderly Transition,1.7C,3.0C+,2027,2035,2040,portfolio / financed activities,climate stress testing model,asset impairment pressure; insurance cost escalation; policy tightening,significant vulnerability under high warming scenario,"Scenario analysis considered IPCC SSP2-4.5 and NGFS Orderly Transition across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2022,scenario analysis memo
C003,2023,True,IEA STEPS,IPCC SSP2-4.5,2.0C,2.5C,2025,2030,2050,own operations only,internal scenario analysis,higher physical climate losses; customer demand shift; asset impairment pressure,resilience depends on accelerated mitigation actions,"Scenario analysis considered IEA STEPS and IPCC SSP2-4.5 across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2023,scenario analysis memo
C003,2024,True,IPCC SSP2-4.5,IEA NZE 2050,1.7C,2.5C,2026,2035,2040,operations and supply chain,climate stress testing model,higher physical climate losses; energy price volatility; insurance cost escalation,high uncertainty with mixed resilience across business units,"Scenario analysis considered IPCC SSP2-4.5 and IEA NZE 2050 across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2024,scenario analysis memo
C004,2020,True,NGFS Delayed Transition,IPCC SSP1-1.9,2.0C,2.0C,2026,2030,2040,selected high-risk assets only,enterprise risk team assessment,policy tightening; customer demand shift; carbon price increase,resilience depends on accelerated mitigation actions,"Scenario analysis considered NGFS Delayed Transition and IPCC SSP1-1.9 across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2020,strategy and resilience working paper
C004,2021,False,,,,,,,,,,,,No formal scenario analysis identified for the reporting year.,Scenario Analysis Pack 2021,climate resilience assessment
C004,2022,True,NGFS Orderly Transition,IPCC SSP1-1.9,1.7C,3.0C+,2026,2035,2050,portfolio / financed activities,external consultant study,asset impairment pressure; carbon price increase; energy price volatility,resilience depends on accelerated mitigation actions,"Scenario analysis considered NGFS Orderly Transition and IPCC SSP1-1.9 across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2022,strategy and resilience working paper
C004,2023,True,NGFS Hot House World,NGFS Orderly Transition,2.0C,2.5C,2025,2035,2050,own operations only,internal scenario analysis,asset impairment pressure; insurance cost escalation; higher physical climate losses,high uncertainty with mixed resilience across business units,"Scenario analysis considered NGFS Hot House World and NGFS Orderly Transition across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2023,climate resilience assessment
C004,2024,True,NGFS Orderly Transition,IEA STEPS,2.0C,2.0C,2027,2035,2040,own operations only,internal scenario analysis,asset impairment pressure; carbon price increase; policy tightening,significant vulnerability under high warming scenario,"Scenario analysis considered NGFS Orderly Transition and IEA STEPS across short-, medium-, and long-term horizons.",Scenario Analysis Pack 2024,climate stress test output
